a,b,c,d
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
1,3,5,7
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
1,3,5,7
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
1,3,5,7
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
9,5,1,3
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
1,3,5,7
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
1,3,5,7
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
1,3,5,7
6,10,4,11
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
6.8,2.8,4.8,1.4
6,3.4,4.5,1.6
2,3.4,4.5,1.6
3.6,4.1,5.6,1.2
3,4,3,2
9,5,1,3
6,10,4,11
3.6,4.1,5.6,1.2
